Вопрос,Эталонный ответ преподавателя,Ответ студента,Оценка
Что в распределённых NoSQL-системах даёт аспект «компромисс между согласованностью и доступностью»?,"В распределённых NoSQL-системах часто приходится выбирать компромисс между согласованностью и доступностью при сетевых разделениях. Архитектура зависит от того, что для бизнеса критичнее: всегда отвечать или всегда видеть самые свежие данные.","Особой роли тут нет, это просто дополнительная настройка.",2
Как фактор «снижение дисперсии ансамбля» влияет на качество результата в Random Forest?,Главная сила Random Forest в снижении дисперсии по сравнению с одиночным деревом решений. Усреднение многих разных деревьев делает предсказание стабильнее и менее чувствительным к шуму.,Главная сила Random Forest в снижении дисперсии по сравнению с одиночным деревом решений.,4
Зачем в RAG-системах нужен элемент «поиск релевантных документов»?,Поиск релевантных документов в RAG-системах даёт модели внешний контекст и снижает число галлюцинаций. Вместо ответа только из параметров модель опирается на найденные фрагменты знаний.,Поиск релевантных документов в RAG-системах даёт модели внешний контекст и снижает число галлюцинаций.,4
Разница между линейной и логистической регрессией,"Линейная регрессия моделирует непрерывные количественные зависимости между переменными, тогда как логистическая регрессия предсказывает вероятности бинарной или мультиклассовой классификации с использованием сигмоидной функции","Линейная регрессия для регрессионного анализа, логистическая для задач классификации",4
"Что делать, если ситуация «слишком высокая learning rate» ухудшает результат в XGBoost и похожих моделях?",Слишком высокая learning rate в бустинге делает шаги обучения грубыми и повышает риск переобучения или нестабильной сходимости. Часто лучше использовать меньший шаг и больше деревьев.,"В общем, «слишком высокая learning rate» — это когда вот это всё используется, как бы. Короче, что-то в этом роде.",2
Дайте определение социального графа. Перечислите его типы и свойства. К какому семейству больших графов он относится?,"Социальный граф — это представление социальных взаимодействий между узлами (людьми, организациями). Характеризуется высокой кластеризацией, малой средней длиной пути, динамичностью и направленными рёбрами. Относится к семейству больших сложных сетей (complex networks).","Социальный граф — это просто набор узлов и рёбер без уточнения, кто эти узлы и как они связаны.",3
Чем опасна ситуация «интерпретация важности признаков» в Random Forest?,"Важность признаков в Random Forest нужно трактовать осторожно, потому что разные способы её расчёта могут быть смещены в пользу признаков с большим числом возможных разбиений. Кроме того, коррелирующие признаки часто делят важность между собой.",Важность признаков в лесу может быть смещённой и не всегда легко интерпретируется. Там ещё есть детали по настройке.,3
Что при обучении моделей градиентными методами даёт аспект «стандартизация признаков»?,"Стандартизация признаков часто ускоряет градиентное обучение, потому что делает поверхность оптимизации более удобной для поиска минимума. Это особенно заметно в линейных моделях и нейросетях.","Главная идея в том, что стандартизация признаков часто ускоряет градиентное обучение, потому что делает поверхность оптимизации более удобной для поиска минимума; это особенно заметно в линейных моделях и нейросетях.",5
Когда в Lakehouse особенно важен аспект «ACID-транзакции поверх файлового хранилища»?,"ACID-транзакции в Lakehouse нужны для согласованной записи, чтения и обновления таблиц даже при параллельной работе. Без них легко получить битые снапшоты, дубликаты и неконсистентную аналитику.",Транзакционность в Lakehouse нужна для консистентных таблиц. Но без деталей про ограничения.,3
Какой эффект даёт механизм «multi-head attention» в трансформерах?,"Multi-head attention позволяет модели одновременно смотреть на разные типы связей между токенами. Отдельные головы могут фокусироваться на синтаксисе, дальних зависимостях или локальном контексте.","Ммм, multi-head attention позволяет модели одновременно смотреть на разные типы связей между токенами, ну там. В общем-то так.",4
Как фактор «выбор эмбеддинг-модели» влияет на качество результата в RAG-системах?,"Выбор эмбеддинг-модели в RAG определяет, насколько хорошо похожие по смыслу тексты окажутся рядом в векторном пространстве. Слабые эмбеддинги дают нерелевантный поиск даже при хорошей генеративной модели.","В общем, наверное, эмбеддинг-модель в RAG влияет на семантическое качество поиска, в общем-то. Дальше я уже не очень помню.",3
Почему результат в NLP зависит от фактора «субсловная токенизация»?,"Субсловная токенизация помогает работать с редкими словами, опечатками и продуктивным словообразованием, разбивая слова на более устойчивые части. Это уменьшает проблему неизвестных токенов и делает модель компактнее.","Смысл в том, что субсловная токенизация помогает работать с редкими словами, опечатками и продуктивным словообразованием, разбивая слова на более устойчивые части; это уменьшает проблему неизвестных токенов и делает модель компактнее.",5
